City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,aasiaat,68.7098,-52.8699,-6.41,94,95,3.11,GL,1697066619
172,lhasa,29.65,91.1,5.09,86,98,1.84,CN,1697066619
173,vicuna,-30.0319,-70.7081,23.21,32,0,1.64,CL,1697066619
174,kenai,60.5544,-151.2583,5.61,61,100,3.6,US,1697066619
175,port lincoln,-34.7333,135.8667,14.05,62,72,10.13,AU,1697066619
176,ugoofaaru,5.6667,73.0,26.48,81,100,5.57,MV,1697066599
177,sandpoint,48.2766,-116.5533,11.92,81,100,2.57,US,1697066620
178,palm city,27.1678,-80.2662,27.23,94,99,0.89,US,1697066620
179,bathsheba,13.2167,-59.5167,28.34,78,20,4.63,BB,1697066620
180,westport,41.1415,-73.3579,18.22,69,0,1.54,US,1697066483
181,hamilton,39.1834,-84.5333,18.76,51,0,4.12,US,1697066570
182,kavaratti,10.5669,72.642,28.7,65,53,4.22,IN,1697066620
183,riberalta,-10.9833,-66.1,33.95,34,79,1.36,BO,1697066620
184,erenhot,43.6475,111.9767,8.89,40,5,1.85,CN,1697066620
185,santa elena de uairen,4.6167,-61.1333,24.37,46,17,0.94,VE,1697066620
186,ribeira grande,38.5167,-28.7,19.32,86,18,0.45,PT,1697066621
187,muscat,23.6139,58.5922,30.01,64,0,1.67,OM,1697066621
188,codrington,-38.2667,141.9667,11.22,90,100,5.55,AU,1697066590
189,yeppoon,-23.1333,150.7333,24.88,62,11,5.6,AU,1697066621
190,saudarkrokur,65.7461,-19.6394,-1.52,84,100,2.09,IS,1697066621
191,saint-philippe,-21.3585,55.7679,21.77,70,90,1.92,RE,1697066621
192,ouesso,1.6136,16.0517,22.83,86,57,0.95,CG,1697066621
193,cabo san lucas,22.8909,-109.9124,32.61,69,0,8.75,MX,1697066519
194,mangalia,43.8,28.5833,13.69,66,4,3.57,RO,1697066622
195,dul'durga,50.6761,113.5931,4.43,79,1,1.21,RU,1697066622
196,bontang,0.1333,117.5,25.09,88,99,2.98,ID,1697066622
197,tolanaro,-25.0319,46.9987,21.04,94,75,4.12,MG,1697066622
198,tura,25.5198,90.2201,21.37,91,0,1.18,IN,1697066605
199,agat village,13.3886,144.6585,29.64,85,75,4.63,GU,1697066622
200,mitsamiouli,-11.3847,43.2844,24.96,80,12,2.45,KM,1697066622
201,porto franco,-6.3383,-47.3992,29.15,48,30,1.97,BR,1697066623
202,berehove,48.2056,22.6442,13.3,72,83,2.8,UA,1697066623
203,amstetten,48.1229,14.8721,13.32,93,26,1.03,AT,1697066623
204,klyuchi,52.2667,79.1667,8.25,49,99,1.96,RU,1697066623
