City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,west island,-12.1568,96.8225,25.99,78,100,8.23,CC,1697212708
142,freetown,8.484,-13.2299,28.84,74,75,2.06,SL,1697212708
143,karayazi,39.7028,42.1456,8.9,48,16,0.41,TR,1697212708
144,pan de azucar,-34.8,-55.2333,15.95,51,0,4.63,UY,1697212708
145,karratha,-20.7377,116.8463,27.7,41,0,2.86,AU,1697212654
146,namie,37.4833,141.0,9.29,72,4,2.57,JP,1697212708
147,rio grande,-32.035,-52.0986,19.06,52,27,4.85,BR,1697212709
148,clarkston heights-vineland,46.3874,-117.083,12.89,80,0,2.06,US,1697212709
149,selfoss,63.9331,-20.9971,1.69,66,5,8.71,IS,1697212709
150,el nido,11.1858,119.3956,27.18,83,10,1.84,PH,1697212709
151,tralee,52.2704,-9.7026,12.14,62,0,5.66,IE,1697212709
152,ende,-8.8432,121.6623,24.6,84,72,1.03,ID,1697212709
153,ma'an,26.9775,110.7211,17.2,77,100,1.14,CN,1697212709
154,zhangye,38.9342,100.4517,11.8,39,23,2.26,CN,1697212710
155,west bay,19.3667,-81.4167,32.78,74,40,3.6,KY,1697212710
156,pimampiro,0.4,-77.9667,24.97,40,90,3.3,EC,1697212710
157,kailua-kona,19.6406,-155.9956,24.22,81,40,2.57,US,1697212710
158,la passe,45.5549,-0.8967,24.13,75,98,11.59,FR,1697212710
159,malango,-2.9627,119.9001,19.36,97,45,0.96,ID,1697212710
160,ancud,-41.8697,-73.8203,10.93,64,42,2.28,CL,1697212710
161,mabaruma,8.2,-59.7833,35.73,43,10,2.38,GY,1697212710
162,preobrazheniye,42.9019,133.9064,14.13,64,100,3.58,RU,1697212711
163,narvik,68.4384,17.4272,2.67,78,10,3.54,NO,1697212711
164,lashio,22.9333,97.75,18.07,99,11,0.65,MM,1697212711
165,nahiyat ash shinafiyah,31.5874,44.6602,33.88,20,91,4.57,IQ,1697212711
166,cill airne,52.05,-9.5167,12.03,62,0,5.66,IE,1697212511
167,nagyatad,46.2296,17.3579,21.6,54,35,2.85,HU,1697212711
168,ayaviri,-14.8864,-70.5889,16.58,29,48,2.29,PE,1697212711
169,east ballina,-28.8667,153.5833,16.56,66,49,1.57,AU,1697212712
170,badger,64.8,-147.5333,-0.07,87,100,0.0,US,1697212712
171,mangrol,21.1167,70.1167,27.88,79,10,4.16,IN,1697212712
172,vila franca do campo,37.7167,-25.4333,22.71,99,100,3.32,PT,1697212712
173,punta arenas,-53.15,-70.9167,9.06,53,0,15.95,CL,1697212712
174,dzhetygara,52.1908,61.2006,7.62,48,99,9.19,KZ,1697212712
175,celestun,20.8667,-90.4,32.08,66,26,2.24,MX,1697212712
176,nar'yan-mar,67.6713,53.087,1.17,76,100,4.02,RU,1697212713
177,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1697212649
178,okhotsk,59.3833,143.3,-1.04,80,100,3.02,RU,1697212713
179,gornozavodsk,58.3758,58.3211,2.82,93,100,6.41,RU,1697212713
180,spokoynaya,44.2468,41.4015,11.02,35,19,0.41,RU,1697212713
181,nogliki,51.8333,143.1667,11.86,70,69,5.81,RU,1697212713
182,fallon,39.4735,-118.7774,5.93,70,0,1.54,US,1697212713
